Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Poland,Poland,PL,609.4,679.12,41.06,40.58,entsoe.eu,false,
2023-01-01 01:00:00,Poland,Poland,PL,685.44,761.8,32.57,32.16,entsoe.eu,false,
2023-01-01 02:00:00,Poland,Poland,PL,670.75,745.19,34.59,34.21,entsoe.eu,false,
2023-01-01 03:00:00,Poland,Poland,PL,630.8,701.37,38.67,38.39,entsoe.eu,false,
2023-01-01 04:00:00,Poland,Poland,PL,598.52,667.36,41.37,41.04,entsoe.eu,false,
2023-01-01 05:00:00,Poland,Poland,PL,592.54,660.91,41.97,41.63,entsoe.eu,false,
2023-01-01 06:00:00,Poland,Poland,PL,594.51,662.56,42.03,41.7,entsoe.eu,false,
2023-01-01 07:00:00,Poland,Poland,PL,601.81,670.55,41.38,41.17,entsoe.eu,false,
2023-01-01 08:00:00,Poland,Poland,PL,571.77,638.99,44.3,44.09,entsoe.eu,false,
2023-01-01 09:00:00,Poland,Poland,PL,541.65,607.28,47.21,47.02,entsoe.eu,false,
2023-01-01 10:00:00,Poland,Poland,PL,503.22,566.32,50.89,50.6,entsoe.eu,false,
2023-01-01 11:00:00,Poland,Poland,PL,487.14,548.46,52.45,52.22,entsoe.eu,false,
2023-01-01 12:00:00,Poland,Poland,PL,494.6,555.95,51.7,51.38,entsoe.eu,false,
2023-01-01 13:00:00,Poland,Poland,PL,490.23,550.39,52.09,51.63,entsoe.eu,false,
2023-01-01 14:00:00,Poland,Poland,PL,495.63,555.77,51.45,50.87,entsoe.eu,false,
2023-01-01 15:00:00,Poland,Poland,PL,520.85,582.61,50.37,49.34,entsoe.eu,false,
2023-01-01 16:00:00,Poland,Poland,PL,528.12,590.29,50.96,49.57,entsoe.eu,false,
2023-01-01 17:00:00,Poland,Poland,PL,569.05,633.4,49.1,47.73,entsoe.eu,false,
2023-01-01 18:00:00,Poland,Poland,PL,615.18,682.95,45.43,44.11,entsoe.eu,false,
2023-01-01 19:00:00,Poland,Poland,PL,639.14,709.01,42.58,41.06,entsoe.eu,false,
2023-01-01 20:00:00,Poland,Poland,PL,649.62,720.6,40.93,39.22,entsoe.eu,false,
2023-01-01 21:00:00,Poland,Poland,PL,667.3,740.12,38.06,36.24,entsoe.eu,false,
2023-01-01 22:00:00,Poland,Poland,PL,685.77,760.48,35.0,32.92,entsoe.eu,false,
